indexnummer,klachtnummer,naam,email,telefoon,hoofdcategorie,subcategorie,behandeltermijn,status,bron,gebied,wijk,tevredenheid,team,wijziging,datum,behandelsduur
835,KL6C5D65AC,Julia de Vries,julia.de vries342@hotmail.com,0692098021,Afval en reiniging,Dumping grofvuil,5 dagen,In behandeling,app,Centrum,De Bergen,,Team Reiniging,0,2025-02-03,
836,KL3DA7F880,Finn van Dijk,finn.van dijk138@gmail.com,0639395058,Groenvoorziening,Onkruidbestrijding,14 dagen,In behandeling,internet,Woensel Noord,Aanschot,,Team Groenvoorziening,0,2025-02-08,
837,KL1E358D2E,Liam Meijer,liam.meijer690@gmail.com,0669518278,Straatverlichting,Lantaarnpaal kapot,10 dagen,Openstaand,telefoon,Centrum,TU-terrein,,Team Verlichting,0,2025-01-28,
838,KL381E851F,Liam van Dijk,,0644805969,Afval en reiniging,Niet geleegde containers,3 dagen,Geannuleerd,app,Strijp,Oud-Strijp,,Team Reiniging,0,2025-02-16,
839,KLCD5A0938,Sophie de Boer,sophie.de boer563@hotmail.com,,Dieren,Overlast door dieren,7 dagen,Geannuleerd,app,Woensel Noord,Aanschot,,Team Handhaving,0,2025-02-15,
840,KLFBD3AFF8,Finn Bakker,finn.bakker366@outlook.com,0664522827,Afval en reiniging,Dumping grofvuil,5 dagen,Afgehandelde klacht,telefoon,Gestel,Oud-Gestel,Neutraal,Team Reiniging,0,2025-02-15,3.0
841,KL389E7001,Sophie Mulder,sophie.mulder914@voorbeeld.nl,0655713590,Geluidsoverlast,Bouw/sloopwerkzaamheden,7 dagen,In behandeling,app,Gestel,Oud Kasteel,,Team Handhaving,0,2025-02-18,
842,KLCF745C32,Noah Meijer,noah.meijer56@gmail.com,0697452426,Zorg en ondersteuning,Wmo/aanvragen,14 dagen,Openstaand,app,Woensel Zuid,Begijnenbroek,,Team Sociaal Domein,0,2025-02-05,
843,KL18BAEE16,Tess de Boer,tess.de boer43@outlook.com,,Afval en reiniging,Verstopte putten,3 dagen,Afgehandelde klacht,telefoon,Tongelre,Oud-Tongelre,Ontevreden,Team Reiniging,0,2025-02-09,10.0
844,KL11F9959D,Julia van Dijk,julia.van dijk661@gmail.com,,Dieren,Dode of gewonde dieren - op straat,1 dag,Afgehandelde klacht,app,Centrum,Witte Dame,Ontevreden,Team Handhaving,0,2025-02-06,9.0
845,KLDE31CE72,Mila de Vries,,0638682545,Afval en reiniging,Niet geleegde containers,3 dagen,In behandeling,telefoon,Stratum,Oud-Stratum,,Team Reiniging,0,2025-02-16,
846,KL4C96A961,Noah de Boer,noah.de boer801@gmail.com,,Afval en reiniging,Zwerfvuil,5 dagen,Heropend,app,Woensel Zuid,Erp,,Team Reiniging,0,2025-02-26,
847,KLD6CADF33,Finn Mulder,finn.mulder6@gmail.com,0690787449,Afval en reiniging,Niet geleegde containers,3 dagen,In behandeling,internet,Woensel Noord,Dommelbeemd,,Team Reiniging,0,2025-01-29,
848,KL87570FA9,Julia Mulder,julia.mulder267@voorbeeld.nl,0686959430,Illegale activiteiten,Woningdelen zonder vergunning,7 dagen,Afgehandelde klacht,app,Stratum,Putten,Tevreden,Team Handhaving,0,2025-02-13,17.0
849,KL47F574A1,Daan Bakker,daan.bakker21@gmail.com,0617066162,Verkeer en wegen,Gat in de weg,5 dagen,Geannuleerd,telefoon,Woensel Noord,Dommelbeemd,,Team Wegen & Verkeer,0,2025-02-10,
850,KL33E1D5B6,Julia de Boer,julia.de boer52@hotmail.com,0661838080,Afval en reiniging,Niet geleegde containers,3 dagen,Heropend,internet,Centrum,De Bergen,,Team Reiniging,0,2025-02-06,
851,KLF501F698,Sophie Jansen,sophie.jansen764@hotmail.com,0695922545,Afval en reiniging,Verstopte putten,3 dagen,Geannuleerd,app,Strijp,Meerhoven,,Team Reiniging,0,2025-02-15,
852,KLAD562581,Noah de Boer,noah.de boer510@voorbeeld.nl,0660017638,Bouwvergunning,Illegale aanbouw,14 dagen,Afgehandelde klacht,telefoon,Centrum,De Bergen,Tevreden,Team Bouw & Toezicht,0,2025-02-19,16.0
853,KL49261288,Finn Mulder,finn.mulder44@gmail.com,0630738559,Afval en reiniging,Dumping grofvuil,5 dagen,Afgehandelde klacht,app,Tongelre,Oud-Tongelre,Zeer ontevreden,Team Reiniging,0,2025-02-17,4.0
854,KL7383DCF4,Liam Meijer,liam.meijer481@voorbeeld.nl,0635276982,Spelen en sport,Vervuiling sportveld,7 dagen,Heropend,app,Gestel,Oud Kasteel,,Team Spelen & Sport,0,2025-02-16,
855,KL17D28CB4,Julia Visser,julia.visser418@hotmail.com,0630503815,Dieren,Dode of gewonde dieren - in openbaar groen,2 dagen,Openstaand,telefoon,Tongelre,De Laak,,Team Handhaving,0,2025-02-25,
856,KL0934BA81,Finn Koster,finn.koster601@hotmail.com,0690098367,Verkeer en wegen,Drukte op de weg,N.v.t. (signaal),In behandeling,app,Strijp,Halve Maan,,Team Groenvoorziening,1,2025-02-17,
857,KL61206831,Sara de Boer,sara.de boer660@gmail.com,,Openbaar vervoer,Klacht over dienstverlening,5 dagen,Afgehandelde klacht,internet,Woensel Zuid,Begijnenbroek,Tevreden,Team Wegen & Verkeer,0,2025-02-11,3.0
858,KLBB969AE5,Tess de Boer,tess.de boer87@voorbeeld.nl,,Afval en reiniging,Zwerfvuil,5 dagen,In behandeling,app,Tongelre,Oud-Tongelre,,Team Reiniging,0,2025-02-25,
859,KL3D5044CE,Julia de Vries,julia.de vries6@gmail.com,0675917814,Afval en reiniging,Niet geleegde containers,3 dagen,In behandeling,telefoon,Woensel Zuid,Begijnenbroek,,Team Reiniging,0,2025-02-04,
860,KL142C84BA,Emma van Dijk,emma.van dijk6@gmail.com,0646106283,Afval en reiniging,Zwerfvuil,5 dagen,Heropend,formulier,Tongelre,De Laak,,Team Reiniging,0,2025-02-22,
861,KLEAE8AADE,Tess Bakker,tess.bakker97@gmail.com,0656087500,Zorg en ondersteuning,Klachten over hulpverleners,10 dagen,Afgehandelde klacht,app,Strijp,Halve Maan,Ontevreden,Team Sociaal Domein,0,2025-01-29,10.0
862,KL9AECC878,Emma Jansen,emma.jansen259@gmail.com,0688114865,Afval en reiniging,Verstopte putten,3 dagen,Openstaand,app,Tongelre,De Laak,,Team Reiniging,0,2025-02-21,
863,KLAD589EA7,Tess van Dijk,tess.van dijk842@voorbeeld.nl,0653282538,Openbaar vervoer,Klacht over dienstverlening,5 dagen,In behandeling,app,Woensel Zuid,Oud-Woensel,,Team Wegen & Verkeer,0,2025-02-09,
864,KLC546C263,Julia de Vries,julia.de vries785@hotmail.com,0649617506,Openbaar vervoer,Beschadigde haltes,7 dagen,Openstaand,app,Woensel Noord,Dommelbeemd,,Team Wegen & Verkeer,0,2025-01-30,
865,KL1A8C8F2F,Liam de Boer,liam.de boer171@gmail.com,0680997292,Straatverlichting,Lantaarnpaal kapot,10 dagen,Heropend,app,Woensel Zuid,Oud-Woensel,,Team Verlichting,0,2025-02-21,
866,KL46950C6C,Tess de Vries,tess.de vries484@hotmail.com,,Vandalisme,Beschadigde objecten,5 dagen,Geannuleerd,internet,Woensel Noord,Achtse Molen,,Team Handhaving,0,2025-01-29,
867,KL2CE8FCC1,Tess Smit,tess.smit965@voorbeeld.nl,0654831629,Verkeer en wegen,Drukte op de weg,N.v.t. (signaal),Geannuleerd,app,Woensel Noord,Aanschot,,Team Wegen & Verkeer,0,2025-02-21,
868,KL2F4B26AB,Finn Koster,finn.koster429@hotmail.com,0648944297,Afval en reiniging,Verstopte putten,3 dagen,In behandeling,app,Tongelre,De Laak,,Team Reiniging,0,2025-02-12,
869,KL70D83788,Mila Smit,mila.smit941@gmail.com,0649839513,Afval en reiniging,Niet geleegde containers,3 dagen,In behandeling,app,Tongelre,Oud-Tongelre,,Team Reiniging,0,2025-02-18,
870,KL1D57C138,Mila Koster,mila.koster297@hotmail.com,0627363256,Parkeerproblemen,Parkeerplaatsen geblokkeerd,1 dag,Openstaand,internet,Woensel Zuid,Begijnenbroek,,Team Handhaving,0,2025-02-15,
871,KLA1116823,Tess de Boer,,,Afval en reiniging,Niet geleegde containers,3 dagen,Openstaand,app,Woensel Zuid,Erp,,Team Reiniging,0,2025-02-08,
872,KL04926A1D,Julia de Boer,,0638200360,Groenvoorziening,Omgevallen boom,2 dagen,Heropend,app,Stratum,Oud-Stratum,,Team Groenvoorziening,0,2025-02-16,
873,KLBC7AA712,Noah Mulder,noah.mulder396@gmail.com,0677561682,Verkeer en wegen,Gat in de weg,5 dagen,In behandeling,telefoon,Tongelre,Oud-Tongelre,,Team Wegen & Verkeer,0,2025-02-20,
874,KL2B2ED81F,Emma Jansen,emma.jansen881@voorbeeld.nl,0683835863,Verkeer en wegen,Gat in de weg,5 dagen,Openstaand,app,Centrum,TU-terrein,,Team Wegen & Verkeer,0,2025-02-19,
875,KL6703A958,Mila Koster,mila.koster772@gmail.com,0618228753,Verkeer en wegen,Gat in de weg,5 dagen,In behandeling,telefoon,Tongelre,De Laak,,Team Wegen & Verkeer,0,2025-02-11,
876,KL32358F12,Tess Jansen,tess.jansen359@gmail.com,0670087098,Afval en reiniging,Zwerfvuil,5 dagen,Geannuleerd,internet,Stratum,Kortonjo,,Team Reiniging,0,2025-02-13,
877,KLCA1ECF19,Finn van Dijk,finn.van dijk184@hotmail.com,0659905829,Afval en reiniging,Niet geleegde containers,3 dagen,Heropend,app,Woensel Zuid,Begijnenbroek,,Team Reiniging,0,2025-02-10,
878,KLE33854CD,Noah Jansen,noah.jansen379@hotmail.com,,Afval en reiniging,Verstopte putten,3 dagen,Geannuleerd,app,Strijp,Meerhoven,,Team Reiniging,0,2025-02-08,
879,KL1B08926D,Sophie Bakker,sophie.bakker511@hotmail.com,0640946774,Groenvoorziening,Overhangend groen,14 dagen,In behandeling,app,Tongelre,De Laak,,Team Groenvoorziening,0,2025-02-10,
880,KL268D7B36,Sophie van Dijk,sophie.van dijk781@outlook.com,,Bouwvergunning,Overlast door projecten,7 dagen,Heropend,onbekend,Woensel Zuid,Erp,,Team Bouw & Toezicht,0,2025-02-24,
881,KL0D40FF0D,Finn Smit,finn.smit170@hotmail.com,0642149162,Afval en reiniging,Dumping grofvuil,5 dagen,In behandeling,app,Strijp,Halve Maan,,Team Groenvoorziening,1,2025-02-03,
882,KLBF1BC194,Liam Jansen,liam.jansen227@gmail.com,,Openbaar vervoer,Klacht over dienstverlening,5 dagen,Heropend,app,Tongelre,De Laak,,Team Wegen & Verkeer,0,2025-02-04,
883,KL0088A30C,Daan van Dijk,daan.van dijk246@gmail.com,,Spelen en sport,Beschadigde speeltoestellen,5 dagen,Afgehandelde klacht,internet,Woensel Zuid,Begijnenbroek,Ontevreden,Team Spelen & Sport,0,2025-02-25,10.0
884,KL2DA8C89F,Tess Meijer,tess.meijer169@hotmail.com,0631471966,Illegale activiteiten,Hennepkwekerijen,1 dag (melden politie),In behandeling,app,Strijp,Halve Maan,,Team Handhaving,0,2025-02-09,
885,KLF503E458,Tess Mulder,tess.mulder171@gmail.com,0696043865,Afval en reiniging,Dumping grofvuil,5 dagen,Geannuleerd,app,Centrum,Witte Dame,,Team Reiniging,0,2025-02-05,
886,KL145388DA,Tess Koster,,0679630148,Woningtoezicht,Achterstallig onderhoud,10 dagen,Openstaand,internet,Gestel,Rozenknopje,,Team Bouw & Toezicht,0,2025-02-02,
887,KLEA3DC918,Julia Smit,julia.smit729@voorbeeld.nl,,Afval en reiniging,Dumping grofvuil,5 dagen,Openstaand,app,Gestel,Rozenknopje,,Team Reiniging,0,2025-02-13,
888,KL93888E6E,Tess Smit,tess.smit880@hotmail.com,0620572189,Afval en reiniging,Niet geleegde containers,3 dagen,Afgehandelde klacht,app,Woensel Noord,Ontginning,Ontevreden,Team Reiniging,0,2025-02-16,9.0
889,KLE0F419CE,Sophie van Dijk,,0616440273,Afval en reiniging,Niet geleegde containers,3 dagen,Heropend,app,Centrum,Binnenstad,,Team Reiniging,0,2025-02-16,
890,KL117621C4,Sophie Visser,sophie.visser537@outlook.com,,Zorg en ondersteuning,Wmo/aanvragen,14 dagen,Heropend,internet,Woensel Zuid,Erp,,Team Sociaal Domein,0,2025-02-13,
891,KLFF68E8FB,Finn Mulder,finn.mulder104@hotmail.com,0679022793,Straatverlichting,Knipperende verlichting,10 dagen,Openstaand,app,Stratum,Oud-Stratum,,Team Verlichting,0,2025-02-03,
892,KLEB9F0D34,Liam Meijer,liam.meijer732@outlook.com,0692116615,Verkeer en wegen,Drukte op de weg,N.v.t. (signaal),Heropend,internet,Woensel Noord,Ontginning,,Team Wegen & Verkeer,0,2025-02-21,
893,KL89B46299,Mila Meijer,mila.meijer136@hotmail.com,0646871396,Parkeerproblemen,Foutparkeren,1 dag,Afgehandelde klacht,telefoon,Woensel Zuid,Erp,Ontevreden,Team Handhaving,0,2025-02-24,7.0
894,KLAE2AF5D0,Sophie Jansen,sophie.jansen149@voorbeeld.nl,0671836188,Straatverlichting,Lantaarnpaal kapot,10 dagen,Openstaand,telefoon,Strijp,Halve Maan,,Team Verlichting,0,2025-02-09,
895,KLE92704B1,Mila Visser,mila.visser476@hotmail.com,0672665517,Verkeer en wegen,Gat in de weg,5 dagen,Heropend,app,Tongelre,De Laak,,Team Wegen & Verkeer,0,2025-02-17,
896,KL7452C7F5,Tess de Boer,tess.de boer41@gmail.com,0674605699,Afval en reiniging,Zwerfvuil,5 dagen,In behandeling,internet,Gestel,Oud-Gestel,,Team Reiniging,0,2025-02-22,
897,KL6B7F61E9,Emma Koster,,0622468621,Openbaar vervoer,Beschadigde haltes,7 dagen,Geannuleerd,formulier,Gestel,Oud-Gestel,,Team Wegen & Verkeer,0,2025-02-09,
898,KL8C7C584A,Tess Smit,,0629112546,Afval en reiniging,Verstopte putten,3 dagen,In behandeling,app,Stratum,Oud-Stratum,,Team Reiniging,0,2025-01-29,
899,KL92C33528,Julia Meijer,julia.meijer415@voorbeeld.nl,0664510963,Vandalisme,Beschadigde objecten,5 dagen,In behandeling,app,Tongelre,Oud-Tongelre,,Team Handhaving,0,2025-02-26,
900,KLE4C58029,Noah Koster,noah.koster700@gmail.com,0672164889,Groenvoorziening,Omgevallen boom,2 dagen,Openstaand,app,Tongelre,De Laak,,Team Groenvoorziening,0,2025-02-26,
901,KL06117378,Tess de Vries,tess.de vries828@voorbeeld.nl,0684233665,Afval en reiniging,Niet geleegde containers,3 dagen,Heropend,app,Woensel Zuid,Begijnenbroek,,Team Reiniging,0,2025-02-06,
902,KL7189953D,Finn Meijer,finn.meijer469@outlook.com,0636340563,Afval en reiniging,Dumping grofvuil,5 dagen,In behandeling,app,Gestel,Oud-Gestel,,Team Reiniging,0,2025-02-11,
903,KL2AFE1087,Liam de Boer,liam.de boer271@hotmail.com,0698420600,Jeugdzorg,Kindermishandeling (melding),1 dag,Afgehandelde klacht,telefoon,Woensel Noord,Achtse Molen,Zeer tevreden,Team Sociaal Domein,0,2025-02-18,2.0
904,KL0766B504,Liam Visser,liam.visser628@voorbeeld.nl,0621362051,Groenvoorziening,Omgevallen boom,2 dagen,In behandeling,internet,Woensel Zuid,Oud-Woensel,,Team Groenvoorziening,0,2025-02-17,
905,KL8D332A4B,Daan Mulder,daan.mulder122@voorbeeld.nl,0695957811,Geluidsoverlast,Horeca,7 dagen,Geannuleerd,formulier,Strijp,Oud-Strijp,,Team Handhaving,0,2025-02-01,
906,KLD5D4FC72,Sara de Boer,sara.de boer290@gmail.com,,Parkeerproblemen,Parkeerplaatsen geblokkeerd,1 dag,Openstaand,telefoon,Woensel Noord,Aanschot,,Team Handhaving,0,2025-01-28,
907,KLBD204F24,Noah Bakker,noah.bakker193@gmail.com,0693525052,Verkeer en wegen,Gat in de weg,5 dagen,Openstaand,internet,Centrum,Fellenoord,,Team Wegen & Verkeer,0,2025-02-22,
908,KL743CE8B4,Finn Jansen,finn.jansen238@gmail.com,0665520779,Afval en reiniging,Dumping grofvuil,5 dagen,In behandeling,internet,Tongelre,De Laak,,Team Verlichting,1,2025-02-24,
909,KLFBD77967,Sophie van Dijk,sophie.van dijk799@gmail.com,0646849447,Woningtoezicht,Achterstallig onderhoud,10 dagen,Geannuleerd,app,Stratum,Putten,,Team Bouw & Toezicht,0,2025-02-09,
910,KL56FAD3B7,Daan de Vries,daan.de vries276@voorbeeld.nl,,Parkeerproblemen,Foutparkeren,1 dag,In behandeling,internet,Woensel Zuid,Erp,,Team Handhaving,0,2025-02-22,
911,KL9AA04B17,Tess de Vries,,0615514519,Parkeerproblemen,Foutparkeren,1 dag,Openstaand,telefoon,Strijp,Halve Maan,,Team Handhaving,0,2025-02-06,
912,KLCB8C6975,Julia Smit,julia.smit349@gmail.com,,Openbaar vervoer,Beschadigde haltes,7 dagen,Geannuleerd,telefoon,Gestel,Oud Kasteel,,Team Wegen & Verkeer,0,2025-02-10,
913,KL7A9D103B,Noah Smit,noah.smit857@outlook.com,0636496160,Afval en reiniging,Verstopte putten,3 dagen,Openstaand,formulier,Woensel Noord,Aanschot,,Team Reiniging,0,2025-02-22,
914,KL2A9397B8,Sophie Mulder,sophie.mulder371@hotmail.com,0626505203,Straatverlichting,Knipperende verlichting,10 dagen,Openstaand,formulier,Gestel,Oud-Gestel,,Team Verlichting,0,2025-02-13,
915,KLBCFAE4AE,Mila Koster,mila.koster964@outlook.com,0615467923,Parkeerproblemen,Parkeerplaatsen geblokkeerd,1 dag,In behandeling,app,Tongelre,Oud-Tongelre,,Team Handhaving,0,2025-02-25,
916,KL4D34859B,Liam de Boer,liam.de boer477@voorbeeld.nl,0615916429,Groenvoorziening,Omgevallen boom,2 dagen,Afgehandelde klacht,app,Woensel Noord,Achtse Molen,Neutraal,Team Groenvoorziening,0,2025-02-10,16.0
917,KL3D26A548,Noah Koster,,,Groenvoorziening,Omgevallen boom,2 dagen,Heropend,app,Gestel,Rozenknopje,,Team Handhaving,1,2025-02-17,
918,KL71C2CBAB,Sophie Koster,sophie.koster414@gmail.com,0691529109,Afval en reiniging,Zwerfvuil,5 dagen,In behandeling,app,Stratum,Kortonjo,,Team Reiniging,0,2025-02-06,
919,KL00187AF7,Mila Jansen,mila.jansen103@voorbeeld.nl,0673548797,Zorg en ondersteuning,Wmo/aanvragen,14 dagen,In behandeling,formulier,Tongelre,De Laak,,Team Sociaal Domein,0,2025-02-22,
920,KL335022E2,Sophie Mulder,sophie.mulder42@outlook.com,0690901144,Jeugdzorg,Ondersteuning bij opvoeding,14 dagen,In behandeling,internet,Centrum,De Bergen,,Team Sociaal Domein,0,2025-02-11,
921,KL8288C554,Finn Bakker,finn.bakker290@gmail.com,0668590240,Afval en reiniging,Dumping grofvuil,5 dagen,Geannuleerd,telefoon,Woensel Noord,Ontginning,,Team Reiniging,0,2025-02-11,
922,KLBCABC9C8,Noah Jansen,noah.jansen615@hotmail.com,,Groenvoorziening,Omgevallen boom,2 dagen,Heropend,app,Woensel Zuid,Begijnenbroek,,Team Groenvoorziening,0,2025-02-15,
923,KL7BB8A90A,Liam Smit,,0610604394,Afval en reiniging,Niet geleegde containers,3 dagen,Geannuleerd,internet,Tongelre,Oud-Tongelre,,Team Reiniging,0,2025-02-13,
924,KLEC704EE8,Sophie van Dijk,sophie.van dijk407@outlook.com,0663527021,Afval en reiniging,Verstopte putten,3 dagen,Geannuleerd,onbekend,Stratum,Oud-Stratum,,Team Reiniging,0,2025-02-09,
925,KL130AF0E4,Tess Jansen,tess.jansen11@gmail.com,0636950685,Bouwvergunning,Overlast door projecten,7 dagen,Geannuleerd,internet,Centrum,Witte Dame,,Team Bouw & Toezicht,0,2025-02-03,
926,KL1247F46D,Julia Bakker,julia.bakker519@gmail.com,0659674581,Groenvoorziening,Overhangend groen,14 dagen,Geannuleerd,internet,Centrum,Fellenoord,,Team Groenvoorziening,0,2025-02-22,
927,KL40D244E0,Sara de Vries,sara.de vries484@hotmail.com,0680431485,Illegale activiteiten,Hennepkwekerijen,1 dag (melden politie),Openstaand,formulier,Strijp,Meerhoven,,Team Handhaving,0,2025-01-29,
928,KLC2E13B37,Mila Meijer,mila.meijer544@gmail.com,0617908975,Woningtoezicht,Ongedierte,5 dagen,Geannuleerd,telefoon,Gestel,Rozenknopje,,Team Bouw & Toezicht,0,2025-02-12,
929,KL3114B876,Julia Koster,julia.koster894@hotmail.com,0676494059,Verkeer en wegen,Verkeersbord ontbreekt/beschadigd,10 dagen,Openstaand,app,Stratum,Putten,,Team Wegen & Verkeer,0,2025-02-24,
930,KL012EC0AF,Sara Jansen,sara.jansen787@outlook.com,0616842030,Woningtoezicht,Achterstallig onderhoud,10 dagen,Heropend,app,Stratum,Oud-Stratum,,Team Bouw & Toezicht,0,2025-02-16,
931,KL29647B89,Mila Bakker,mila.bakker726@hotmail.com,,Straatverlichting,Knipperende verlichting,10 dagen,Openstaand,app,Centrum,Witte Dame,,Team Verlichting,0,2025-02-18,
932,KLA4CFAACF,Liam Mulder,liam.mulder278@gmail.com,0636312656,Spelen en sport,Beschadigde speeltoestellen,5 dagen,Geannuleerd,internet,Woensel Zuid,Begijnenbroek,,Team Spelen & Sport,0,2025-02-16,
933,KL165882B9,Julia Jansen,julia.jansen382@voorbeeld.nl,,Afval en reiniging,Verstopte putten,3 dagen,Heropend,app,Strijp,Oud-Strijp,,Team Reiniging,0,2025-02-04,
934,KL058E4289,Noah Meijer,noah.meijer244@hotmail.com,0678209144,Groenvoorziening,Overhangend groen,14 dagen,Afgehandelde klacht,telefoon,Strijp,Meerhoven,Ontevreden,Team Groenvoorziening,0,2025-02-01,1.0
935,KL61CB5C64,Liam Visser,liam.visser303@gmail.com,0696926054,Afval en reiniging,Niet geleegde containers,3 dagen,In behandeling,app,Tongelre,De Laak,,Team Reiniging,0,2025-01-30,
936,KLEAEE4FD9,Tess Jansen,tess.jansen216@outlook.com,0678908430,Woningtoezicht,Ongedierte,5 dagen,In behandeling,telefoon,Centrum,Witte Dame,,Team Bouw & Toezicht,0,2025-02-24,
937,KL82963847,Daan Jansen,daan.jansen863@gmail.com,0662919651,Afval en reiniging,Niet geleegde containers,3 dagen,In behandeling,app,Tongelre,De Laak,,Team Reiniging,0,2025-01-29,
938,KL40315AFF,Finn Visser,finn.visser799@hotmail.com,0680497374,Verkeer en wegen,Gat in de weg,5 dagen,Heropend,internet,Tongelre,Oud-Tongelre,,Team Handhaving,1,2025-02-26,
939,KL63E50A62,Emma Jansen,,0620241711,Afval en reiniging,Zwerfvuil,5 dagen,Openstaand,onbekend,Stratum,Oud-Stratum,,Team Reiniging,0,2025-02-03,
940,KL13BF9A4F,Emma Visser,emma.visser870@outlook.com,0660772198,Woningtoezicht,Ongedierte,5 dagen,Afgehandelde klacht,app,Centrum,TU-terrein,Ontevreden,Team Bouw & Toezicht,0,2025-02-16,13.0
941,KLE209E565,Mila Smit,mila.smit647@gmail.com,0627876270,Spelen en sport,Vervuiling sportveld,7 dagen,Heropend,formulier,Gestel,Rozenknopje,,Team Spelen & Sport,0,2025-02-13,
942,KL0C42B5D3,Tess Jansen,tess.jansen840@hotmail.com,0626464645,Jeugdzorg,Ondersteuning bij opvoeding,14 dagen,Afgehandelde klacht,app,Tongelre,De Laak,Zeer tevreden,Team Sociaal Domein,0,2025-02-25,1.0
943,KLC4B04BCE,Sara Koster,sara.koster883@outlook.com,0621500424,Spelen en sport,Vervuiling sportveld,7 dagen,Afgehandelde klacht,app,Strijp,Halve Maan,Zeer ontevreden,Team Spelen & Sport,0,2025-02-24,14.0
944,KLBFB3D8A9,Sophie Meijer,sophie.meijer813@outlook.com,0697078104,Straatverlichting,Knipperende verlichting,10 dagen,In behandeling,telefoon,Stratum,Oud-Stratum,,Team Verlichting,0,2025-01-31,
945,KLA000F27E,Mila Meijer,mila.meijer108@outlook.com,0682098221,Afval en reiniging,Dumping grofvuil,5 dagen,Openstaand,app,Stratum,Kortonjo,,Team Reiniging,0,2025-02-18,
946,KL6E3DFB2F,Sara van Dijk,,,Geluidsoverlast,Horeca,7 dagen,In behandeling,internet,Stratum,Kortonjo,,Team Handhaving,0,2025-02-09,
947,KL8C1046B3,Tess Mulder,tess.mulder820@hotmail.com,0694486754,Geluidsoverlast,Horeca,7 dagen,Openstaand,formulier,Centrum,TU-terrein,,Team Handhaving,0,2025-02-11,
948,KL258D9F72,Finn Meijer,finn.meijer105@hotmail.com,0652966917,Woningtoezicht,Ongedierte,5 dagen,Geannuleerd,formulier,Strijp,Halve Maan,,Team Bouw & Toezicht,0,2025-02-03,
949,KLA953AB7D,Emma de Boer,emma.de boer566@hotmail.com,0616861908,Bouwvergunning,Illegale aanbouw,14 dagen,Afgehandelde klacht,internet,Woensel Zuid,Begijnenbroek,Ontevreden,Team Bouw & Toezicht,0,2025-02-06,14.0
950,KL9FB8C922,Daan Jansen,daan.jansen514@outlook.com,0610262567,Bouwvergunning,Overlast door projecten,7 dagen,Openstaand,formulier,Stratum,Putten,,Team Bouw & Toezicht,0,2025-02-03,
951,KL91D10C68,Sara de Boer,sara.de boer941@outlook.com,,Afval en reiniging,Niet geleegde containers,3 dagen,Openstaand,onbekend,Woensel Zuid,Begijnenbroek,,Team Reiniging,0,2025-02-24,
952,KL609FD109,Emma de Boer,emma.de boer635@outlook.com,0669874230,Spelen en sport,Beschadigde speeltoestellen,5 dagen,In behandeling,app,Woensel Noord,Achtse Molen,,Team Spelen & Sport,0,2025-01-28,
953,KL8A1B5C0A,Emma de Vries,emma.de vries361@gmail.com,,Openbaar vervoer,Klacht over dienstverlening,5 dagen,In behandeling,app,Woensel Zuid,Begijnenbroek,,Team Wegen & Verkeer,0,2025-01-30,
954,KLFD22460D,Julia Mulder,,0659697331,Vandalisme,Graffiti,10 dagen,Afgehandelde klacht,app,Woensel Noord,Achtse Molen,Tevreden,Team Handhaving,0,2025-02-18,7.0
955,KLAAE04D57,Emma Mulder,emma.mulder704@outlook.com,0627219158,Woningtoezicht,Achterstallig onderhoud,10 dagen,Geannuleerd,internet,Woensel Zuid,Oud-Woensel,,Team Bouw & Toezicht,0,2025-02-06,
956,KL67B7BED1,Liam Mulder,liam.mulder556@gmail.com,0635244541,Parkeerproblemen,Parkeerplaatsen geblokkeerd,1 dag,Openstaand,app,Strijp,Meerhoven,,Team Handhaving,0,2025-02-12,
957,KLFECB28A6,Finn Jansen,,0695145845,Vandalisme,Beschadigde objecten,5 dagen,Openstaand,app,Gestel,Oud Kasteel,,Team Handhaving,0,2025-02-23,
958,KL2FFC6204,Emma de Vries,emma.de vries736@gmail.com,0677881313,Geluidsoverlast,Horeca,7 dagen,In behandeling,formulier,Centrum,Fellenoord,,Team Sociaal Domein,1,2025-02-18,
959,KL81290BC1,Finn Mulder,finn.mulder717@gmail.com,0630795447,Parkeerproblemen,Parkeerplaatsen geblokkeerd,1 dag,In behandeling,app,Tongelre,Oud-Tongelre,,Team Handhaving,0,2025-02-06,
960,KL734E0EAC,Finn Koster,finn.koster653@voorbeeld.nl,0695189572,Afval en reiniging,Dumping grofvuil,5 dagen,In behandeling,app,Tongelre,Oud-Tongelre,,Team Reiniging,0,2025-02-13,
961,KLF3F5ECDE,Noah Bakker,noah.bakker660@gmail.com,0685954970,Groenvoorziening,Overhangend groen,14 dagen,In behandeling,app,Strijp,Meerhoven,,Team Groenvoorziening,0,2025-02-22,
962,KLA3AF58C4,Liam Visser,liam.visser898@hotmail.com,0684119885,Afval en reiniging,Dumping grofvuil,5 dagen,Heropend,app,Woensel Noord,Achtse Molen,,Team Reiniging,0,2025-02-06,
963,KL0E33F53E,Julia Meijer,julia.meijer56@hotmail.com,0677685142,Vandalisme,Graffiti,10 dagen,In behandeling,formulier,Woensel Noord,Dommelbeemd,,Team Verlichting,1,2025-02-26,
